epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3403,1.17545,1.69958,1.35557,0.71534,0.7844,0.66356,0.4587,1.01007,0.94596,1.37826,0.00331588,0.00331588,0.00331588
2,57.6773,1.07933,0.85871,1.26706,0.74271,0.78747,0.71057,0.51303,0.94636,0.87374,1.23003,0.00663459,0.00663459,0.00663459
3,77.266,1.06628,0.81807,1.20649,0.69632,0.72738,0.64779,0.42474,1.15076,0.96648,1.30493,0.00993862,0.00993862,0.00993862
4,97.07,1.05377,0.77741,1.18085,0.70699,0.75701,0.66831,0.46104,0.94402,0.87553,1.20176,0.009934,0.009934,0.009934
5,117.22,1.01176,0.73336,1.14993,0.71969,0.80062,0.71141,0.49802,0.98624,0.8341,1.16542,0.009912,0.009912,0.009912
6,137.013,0.98393,0.69254,1.13019,0.74499,0.77519,0.68739,0.48656,0.95528,0.82388,1.15714,0.00989,0.00989,0.00989
7,157.025,0.98004,0.68029,1.12962,0.73307,0.7774,0.71169,0.50183,0.95618,0.85609,1.169,0.009868,0.009868,0.009868
8,177.092,0.97447,0.67103,1.12479,0.74062,0.78,0.70549,0.5025,0.94335,0.78085,1.14213,0.009846,0.009846,0.009846
9,196.326,0.96497,0.66244,1.12596,0.74843,0.78999,0.74019,0.52374,0.8984,0.79642,1.13364,0.009824,0.009824,0.009824
10,216.172,0.95105,0.63492,1.11387,0.7545,0.76369,0.72648,0.5012,1.0528,0.80248,1.19651,0.009802,0.009802,0.009802
11,236.307,0.94544,0.62917,1.11415,0.75019,0.7636,0.71617,0.50256,0.99904,0.76135,1.17512,0.00978,0.00978,0.00978
12,255.927,0.94295,0.62329,1.10852,0.76544,0.79945,0.74042,0.54442,0.90053,0.73728,1.1449,0.009758,0.009758,0.009758
13,275.567,0.93594,0.61961,1.10945,0.78359,0.78557,0.74792,0.55359,0.87705,0.76104,1.11469,0.009736,0.009736,0.009736
14,295.502,0.92791,0.60288,1.09865,0.77333,0.78978,0.75787,0.55829,0.86235,0.71065,1.07205,0.009714,0.009714,0.009714
15,315.208,0.92272,0.60275,1.09536,0.74362,0.77865,0.73246,0.50778,1.0496,0.78412,1.17734,0.009692,0.009692,0.009692
16,335.33,0.92156,0.59645,1.09564,0.80118,0.76289,0.75465,0.55318,0.8813,0.71649,1.09506,0.00967,0.00967,0.00967
17,355.093,0.91567,0.59161,1.09446,0.77982,0.78374,0.76551,0.56697,0.88413,0.71608,1.11747,0.009648,0.009648,0.009648
18,374.82,0.91487,0.59915,1.09281,0.76925,0.79473,0.75862,0.56233,0.87928,0.71545,1.15263,0.009626,0.009626,0.009626
19,394.686,0.90673,0.58479,1.08687,0.7973,0.77437,0.73013,0.54199,0.88074,0.72291,1.14442,0.009604,0.009604,0.009604
20,414.298,0.90299,0.5765,1.08938,0.7753,0.78417,0.74767,0.5575,0.87135,0.70062,1.11154,0.009582,0.009582,0.009582
21,433.641,0.90008,0.57384,1.08706,0.76832,0.79545,0.76008,0.56596,0.85527,0.69647,1.08224,0.00956,0.00956,0.00956
22,452.048,0.89665,0.57619,1.08904,0.74743,0.80149,0.7487,0.54659,0.92335,0.76556,1.1583,0.009538,0.009538,0.009538
23,470.969,0.89418,0.57038,1.08107,0.78246,0.80335,0.7809,0.5902,0.84259,0.6676,1.09056,0.009516,0.009516,0.009516
24,490.767,0.88944,0.56372,1.08213,0.76723,0.79521,0.76826,0.57321,0.86253,0.68498,1.08619,0.009494,0.009494,0.009494
25,510.935,0.89345,0.5682,1.08017,0.81393,0.77066,0.78056,0.58904,0.84857,0.68936,1.0689,0.009472,0.009472,0.009472
26,529.703,0.89136,0.57054,1.08097,0.77972,0.79031,0.77437,0.58214,0.84758,0.69132,1.09365,0.00945,0.00945,0.00945
27,549.048,0.88547,0.55971,1.07738,0.79326,0.78289,0.76091,0.57456,0.84714,0.69232,1.09625,0.009428,0.009428,0.009428
28,568.7,0.88101,0.55587,1.07487,0.76091,0.79704,0.76065,0.57547,0.85,0.68838,1.10622,0.009406,0.009406,0.009406
29,588.469,0.88135,0.55503,1.07708,0.80295,0.77415,0.78301,0.59332,0.83959,0.68103,1.07218,0.009384,0.009384,0.009384
30,607.662,0.87862,0.54886,1.0688,0.80024,0.77908,0.76949,0.58279,0.84225,0.67937,1.08228,0.009362,0.009362,0.009362
31,627.384,0.87886,0.54798,1.07083,0.82012,0.77886,0.76202,0.58029,0.85984,0.68335,1.11726,0.00934,0.00934,0.00934
32,647.193,0.87649,0.55307,1.06937,0.81423,0.76135,0.74834,0.55999,0.87059,0.67856,1.11359,0.009318,0.009318,0.009318
33,666.588,0.87403,0.55093,1.06938,0.82595,0.74788,0.77519,0.58652,0.84478,0.67288,1.074,0.009296,0.009296,0.009296
34,685.297,0.87161,0.54208,1.06534,0.76608,0.78539,0.75387,0.56848,0.84465,0.70328,1.11672,0.009274,0.009274,0.009274
35,705.114,0.86887,0.53789,1.06819,0.76142,0.80217,0.75911,0.57382,0.84941,0.7116,1.11223,0.009252,0.009252,0.009252
36,723.935,0.8707,0.54108,1.06466,0.76997,0.8008,0.76885,0.57841,0.84447,0.69392,1.0683,0.00923,0.00923,0.00923
37,743.621,0.87225,0.5387,1.06682,0.75524,0.81153,0.76146,0.5759,0.83742,0.6854,1.09386,0.009208,0.009208,0.009208
38,763.255,0.8614,0.52802,1.06294,0.79793,0.78144,0.75349,0.57471,0.85487,0.69648,1.10888,0.009186,0.009186,0.009186
39,783.002,0.8633,0.53632,1.06339,0.80638,0.78921,0.75688,0.57238,0.85375,0.68018,1.08079,0.009164,0.009164,0.009164
40,802.821,0.86113,0.52622,1.06128,0.76558,0.78981,0.76787,0.57803,0.84082,0.69467,1.06933,0.009142,0.009142,0.009142
41,822.551,0.85707,0.52765,1.05427,0.76342,0.80235,0.7514,0.56733,0.85381,0.69487,1.09523,0.00912,0.00912,0.00912
42,841.562,0.86172,0.53241,1.05969,0.76796,0.79593,0.75184,0.57277,0.83252,0.69106,1.0655,0.009098,0.009098,0.009098
43,861.11,0.8577,0.53,1.05745,0.79015,0.76922,0.77093,0.58712,0.83543,0.69494,1.04897,0.009076,0.009076,0.009076
44,880.42,0.85719,0.52745,1.05749,0.79994,0.79413,0.77913,0.5949,0.84476,0.65906,1.06933,0.009054,0.009054,0.009054
45,900.246,0.85811,0.52739,1.05514,0.78509,0.7905,0.75915,0.57498,0.84399,0.68363,1.05285,0.009032,0.009032,0.009032
46,920.354,0.85467,0.52587,1.05327,0.79157,0.78238,0.78394,0.59576,0.82715,0.65414,1.0623,0.00901,0.00901,0.00901
47,939.969,0.85269,0.52063,1.0524,0.78602,0.79718,0.75963,0.57929,0.84497,0.70435,1.10773,0.008988,0.008988,0.008988
48,959.61,0.84754,0.51856,1.04728,0.82711,0.77488,0.77062,0.59024,0.84716,0.67455,1.07922,0.008966,0.008966,0.008966
