epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4699,1.19363,1.28242,1.26996,0.7219,0.72473,0.69503,0.47905,1.0035,0.71323,1.08013,0.00329861,0.00329861,0.00329861
2,63.5543,1.03413,0.69906,1.09482,0.73572,0.78443,0.71405,0.51238,0.92891,0.71107,1.0446,0.00661735,0.00661735,0.00661735
3,93.241,1.03671,0.69479,1.0928,0.56653,0.56699,0.53668,0.28418,1.48859,1.03024,1.35625,0.00992143,0.00992143,0.00992143
4,122.306,1.02141,0.67965,1.09671,0.71416,0.77931,0.65412,0.42974,1.09016,0.87207,1.12675,0.009934,0.009934,0.009934
5,151.639,0.99645,0.65546,1.08891,0.73193,0.76985,0.70313,0.46446,1.07199,0.81998,1.10605,0.009912,0.009912,0.009912
6,180.683,0.96786,0.63449,1.07624,0.73681,0.74603,0.69814,0.48003,1.01316,0.77386,1.0969,0.00989,0.00989,0.00989
7,210.044,0.95487,0.61529,1.06731,0.75511,0.78456,0.73982,0.51667,0.9666,0.77313,1.06855,0.009868,0.009868,0.009868
8,239.433,0.94099,0.6082,1.06479,0.72564,0.7697,0.67909,0.47341,1.01669,0.76415,1.08617,0.009846,0.009846,0.009846
9,268.847,0.92995,0.60014,1.06352,0.74722,0.78568,0.70174,0.5173,0.897,0.75362,1.08232,0.009824,0.009824,0.009824
10,298.45,0.92315,0.58774,1.05776,0.82944,0.75562,0.75092,0.55207,0.88631,0.6758,1.03349,0.009802,0.009802,0.009802
11,328.171,0.9104,0.57945,1.05298,0.79136,0.77299,0.73745,0.53855,0.86521,0.67462,1.03312,0.00978,0.00978,0.00978
12,357.339,0.9081,0.5757,1.05318,0.75903,0.7723,0.73696,0.54745,0.8518,0.69191,1.04283,0.009758,0.009758,0.009758
13,386.998,0.89826,0.56446,1.04743,0.72338,0.79284,0.71476,0.48464,1.10635,0.85872,1.13227,0.009736,0.009736,0.009736
14,416.748,0.89292,0.56514,1.04195,0.74163,0.79,0.75093,0.55389,0.87078,0.68361,1.0254,0.009714,0.009714,0.009714
15,446.181,0.88863,0.55553,1.04263,0.8052,0.75978,0.73955,0.55071,0.85827,0.67029,1.03521,0.009692,0.009692,0.009692
16,475.489,0.8865,0.55739,1.04265,0.75226,0.79756,0.72441,0.53296,0.88217,0.73275,1.05275,0.00967,0.00967,0.00967
17,504.854,0.87635,0.54583,1.0391,0.77747,0.80283,0.74089,0.54918,0.84482,0.67202,1.01354,0.009648,0.009648,0.009648
18,534.457,0.87411,0.54409,1.03618,0.78086,0.79985,0.76512,0.57738,0.83727,0.6501,1.02002,0.009626,0.009626,0.009626
19,564.008,0.87471,0.544,1.0342,0.72787,0.79452,0.74423,0.51737,1.03601,0.72314,1.08736,0.009604,0.009604,0.009604
20,593.385,0.87043,0.54068,1.03688,0.76152,0.78394,0.75054,0.56313,0.85389,0.66002,1.02335,0.009582,0.009582,0.009582
21,622.794,0.86331,0.53451,1.03225,0.80235,0.77748,0.76464,0.58388,0.8388,0.65914,1.02771,0.00956,0.00956,0.00956
22,652.353,0.85693,0.52823,1.03008,0.7716,0.7909,0.76699,0.57467,0.86004,0.66105,1.02288,0.009538,0.009538,0.009538
23,681.725,0.85269,0.52073,1.0247,0.76404,0.80433,0.76385,0.57499,0.83557,0.67272,1.02967,0.009516,0.009516,0.009516
24,711.221,0.85105,0.5206,1.02744,0.80411,0.77733,0.78556,0.59465,0.83421,0.65891,1.05436,0.009494,0.009494,0.009494
25,740.662,0.85083,0.51982,1.02617,0.75955,0.7955,0.75713,0.56764,0.85512,0.68831,1.03429,0.009472,0.009472,0.009472
26,770.268,0.85287,0.52907,1.02723,0.77587,0.7959,0.76384,0.57679,0.85565,0.66996,1.04226,0.00945,0.00945,0.00945
27,799.566,0.84025,0.51274,1.01899,0.75372,0.80479,0.73496,0.55399,0.83379,0.6905,1.00964,0.009428,0.009428,0.009428
28,829.159,0.83841,0.5094,1.01993,0.77838,0.80096,0.73843,0.55575,0.8503,0.6682,1.02395,0.009406,0.009406,0.009406
29,858.423,0.83028,0.50231,1.0166,0.76224,0.80349,0.73805,0.5611,0.8401,0.68827,1.02977,0.009384,0.009384,0.009384
30,887.703,0.8303,0.4997,1.01332,0.74019,0.78059,0.75583,0.56675,0.83591,0.73984,1.013,0.009362,0.009362,0.009362
31,917.001,0.83087,0.50185,1.01576,0.78216,0.79537,0.75512,0.57656,0.84696,0.67423,1.04708,0.00934,0.00934,0.00934
32,946.506,0.82217,0.496,1.00949,0.78514,0.77241,0.75678,0.57087,0.83939,0.67589,1.03312,0.009318,0.009318,0.009318
33,975.962,0.82041,0.4934,1.012,0.73376,0.79074,0.72702,0.54368,0.83873,0.72125,1.03073,0.009296,0.009296,0.009296
34,1005.24,0.81519,0.4866,1.0075,0.77802,0.794,0.73383,0.55402,0.84136,0.70663,1.05411,0.009274,0.009274,0.009274
35,1034.77,0.80951,0.47734,1.00048,0.73636,0.80705,0.74877,0.56636,0.8313,0.67919,1.05576,0.009252,0.009252,0.009252
36,1063.94,0.81214,0.48299,1.00375,0.80058,0.78493,0.75465,0.57732,0.83414,0.67399,1.02949,0.00923,0.00923,0.00923
37,1093.25,0.80228,0.4719,0.99744,0.76262,0.80492,0.73028,0.54955,0.83771,0.70061,1.03147,0.009208,0.009208,0.009208
